"","X","SimNumber","r","alpha","N0","id","autoCorr","propMiss","actAutoCorr","actPropMiss","estim_r","estim_alpha","se_r","se_alpha","lower_r","lower_alpha","upper_r","upper_alpha"
"2946","197.3.5",197,0.227844753172341,0.0043626309260726,26,47946,0.3,0.3,0.18,0.17,"0.218193214650054",0.00467470958717715,0.0761949101747553,0.0016197448938667,0.0688431276236142,0.0015171541200262,0.367534887975831,0.00786675514682226
"2947","197.3.6",197,0.227844753172341,0.0043626309260726,26,47947,0.3,0.35,0.43,0.22,"0.237127406948109",0.00502813005763174,0.0762770301358312,0.00163866562744127,0.0875558441787614,0.00183234931499168,0.386567606183726,0.00825607517052165
"2948","197.3.7",197,0.227844753172341,0.0043626309260726,26,47948,0.3,0.4,0.41,0.47,"0.37398887908697",0.00759544728546597,0.0737673258505442,0.00148344038540749,0.229115130379505,0.00469686766650675,0.518287532560984,0.0105120717002852
"2949","197.3.8",197,0.227844753172341,0.0043626309260726,26,47949,0.3,0.45,0.08,0.47,"0.236416748160335",0.00524377415493765,0.0750520368475505,0.00162492336455134,0.0892611132224627,0.00207583919104966,0.383478316741869,0.00844588554644606
"2950","197.3.9",197,0.227844753172341,0.0043626309260726,26,47950,0.3,0.5,0.12,0.48,"0.184653862559753",0.00379053826623054,0.0663179295484895,0.0013753409642277,0.0547335870627948,0.001113582801216,0.314715698003593,0.0065053255296906
"2951","197.3.10",197,0.227844753172341,0.0043626309260726,26,47951,0.3,0.55,0.18,0.47,"0.35271035679334",0.00767961205913183,0.0746933115691282,0.00161614799891931,0.206201780343573,0.00452720617082956,0.499008584875167,0.0108627479297572
"2952","197.3.11",197,0.227844753172341,0.0043626309260726,26,47952,0.3,0.6,0.27,0.57,"0.289237986335168",0.00617017095602656,0.0851133057445144,0.00181059842914361,0.122085458358821,0.00263063285688823,0.455736137623126,0.00972834556150265
"2953","197.3.12",197,0.227844753172341,0.0043626309260726,26,47953,0.3,0.65,0.12,0.68,"0.412523674489096",0.00932616168073623,0.0885601288724411,0.00200656639366743,0.238967602703199,0.00541261982269684,0.586129407368166,0.0132785233549766
"2954","197.3.13",197,0.227844753172341,0.0043626309260726,26,47954,0.3,0.7,0.18,0.77,"1.07986685862322",0.0264685169695631,0.0918246898256755,0.00224652037164754,0.899508756250507,0.0220762566327562,1.25945744678361,0.0308825226605912
"2955","197.3.14",197,0.227844753172341,0.0043626309260726,26,47955,0.3,0.75,0.14,0.72,"0.176650953158341",0.00349401617906559,0.0638087898225143,0.00125808412598289,0.0510998551873594,0.00103316866885197,0.301239207721235,0.00596508440468726
"2956","198.3",198,0.105964051776537,0.00638780880556442,21,47956,0.3,0.05,0.42,0.13,"population extinction",NA,NA,NA,NA,NA,NA,NA
"2957","198.3.1",198,0.105964051776537,0.00638780880556442,21,47957,0.3,0.1,0.13,0.08,"population extinction",NA,NA,NA,NA,NA,NA,NA
"2958","198.3.2",198,0.105964051776537,0.00638780880556442,21,47958,0.3,0.15,0.4,0.17,"population extinction",NA,NA,NA,NA,NA,NA,NA
"2959","198.3.3",198,0.105964051776537,0.00638780880556442,21,47959,0.3,0.2,0.27,0.2,"population extinction",NA,NA,NA,NA,NA,NA,NA
