"","missingprop_autocor","parameter","mean","sd","2.5%","50%","97.5%","missingness","type","run_no","...1"
"1487","propMissAct_0.22_autoCorr_0.62","sigma",0.449837952454556,0.013235078958008,0.42525572162044,0.44941201049123,0.476740011574285,"MAR","brms",7,NA
"1488","propMissAct_0.22_autoCorr_0.62","Intercept",0.53325387872925,0.183824212697475,0.138841861274776,0.544717185309009,0.870753241207661,"MAR","brms",7,NA
"1489","propMissAct_0.24_autoCorr_0.63","b_Intercept",-0.417456694703983,0.172014509525749,-0.763186381756742,-0.413819012173762,-0.0865370037546504,"MAR","brms",7,NA
"1490","propMissAct_0.24_autoCorr_0.63","b_light",0.913758744585145,0.135005320639552,0.649151498455101,0.913105270824779,1.17725618775694,"MAR","brms",7,NA
"1491","propMissAct_0.24_autoCorr_0.63","b_Q",-0.636375396914853,0.061310836082068,-0.755259304433962,-0.636764389859544,-0.516395675551838,"MAR","brms",7,NA
"1492","propMissAct_0.24_autoCorr_0.63","phi",0.877084183093727,0.0219967549471195,0.832928421865511,0.877496898487249,0.919640659420648,"MAR","brms",7,NA
"1493","propMissAct_0.24_autoCorr_0.63","sigma",0.485786503901393,0.0146806522575395,0.457785778765271,0.485315480386502,0.516036708634637,"MAR","brms",7,NA
"1494","propMissAct_0.24_autoCorr_0.63","Intercept",0.607270794174042,0.150678954686377,0.289669248591641,0.61336060680017,0.887409874266338,"MAR","brms",7,NA
"1495","propMissAct_0.3_autoCorr_0.59","b_Intercept",-0.329487575955279,0.179048379840191,-0.68958860670364,-0.328603778604172,0.0147702309938479,"MAR","brms",7,NA
"1496","propMissAct_0.3_autoCorr_0.59","b_light",0.79624910841187,0.152624633522219,0.498426586512947,0.795944301346419,1.10404030689966,"MAR","brms",7,NA
"1497","propMissAct_0.3_autoCorr_0.59","b_Q",-0.590900298042966,0.0707465240748404,-0.730635759665465,-0.591552446847121,-0.450072635425453,"MAR","brms",7,NA
"1498","propMissAct_0.3_autoCorr_0.59","phi",0.871931449755846,0.0233041086105381,0.825418830702735,0.872359994081914,0.916909497642842,"MAR","brms",7,NA
"1499","propMissAct_0.3_autoCorr_0.59","sigma",0.492322096711203,0.0163168279965075,0.462540201844851,0.491717680212201,0.525814160188054,"MAR","brms",7,NA
"1500","propMissAct_0.3_autoCorr_0.59","Intercept",0.596352356500289,0.152847607342775,0.272562789265892,0.602822926429483,0.886178315585536,"MAR","brms",7,NA
"1501","propMissAct_0.33_autoCorr_0.62","b_Intercept",-0.393540631861473,0.194620292093247,-0.804021298298156,-0.387436999557066,-0.0321839566490847,"MAR","brms",7,NA
"1502","propMissAct_0.33_autoCorr_0.62","b_light",0.675075697200891,0.142741392284677,0.392036650381977,0.675699391337217,0.950842316926312,"MAR","brms",7,NA
"1503","propMissAct_0.33_autoCorr_0.62","b_Q",-0.711281466689139,0.0711073831517569,-0.847881034415872,-0.711334851783715,-0.572222225895948,"MAR","brms",7,NA
"1504","propMissAct_0.33_autoCorr_0.62","phi",0.892125817346649,0.020573371262036,0.851079994733088,0.892374640011769,0.931106160878525,"MAR","brms",7,NA
"1505","propMissAct_0.33_autoCorr_0.62","sigma",0.489881122653868,0.0157760023812973,0.460360068454507,0.48960204515291,0.521428326555561,"MAR","brms",7,NA
"1506","propMissAct_0.33_autoCorr_0.62","Intercept",0.581639031795723,0.174685981765238,0.218219414293372,0.591168130905441,0.902385800194282,"MAR","brms",7,NA
"1507","propMissAct_0.35_autoCorr_0.57","b_Intercept",-0.420804216412532,0.182769463069111,-0.795028850820302,-0.415036904459481,-0.0823062245484856,"MAR","brms",7,NA
"1508","propMissAct_0.35_autoCorr_0.57","b_light",0.715934634752584,0.149717940689989,0.420907957305311,0.713746951025304,1.0083084046563,"MAR","brms",7,NA
"1509","propMissAct_0.35_autoCorr_0.57","b_Q",-0.755525841283605,0.0661345813211911,-0.886699193185557,-0.755745990634392,-0.626686992206582,"MAR","brms",7,NA
"1510","propMissAct_0.35_autoCorr_0.57","phi",0.879601348986231,0.0220324409495488,0.83650224053107,0.879725899705052,0.922978219816182,"MAR","brms",7,NA
"1511","propMissAct_0.35_autoCorr_0.57","sigma",0.484544453190819,0.0164062306567469,0.453547208743346,0.483887340354613,0.518202988057011,"MAR","brms",7,NA
"1512","propMissAct_0.35_autoCorr_0.57","Intercept",0.614478296421967,0.160793398960042,0.274965781529923,0.623173358848766,0.909204685003334,"MAR","brms",7,NA
"1513","propMissAct_0.43_autoCorr_0.58","b_Intercept",-0.468839138710038,0.188370791708659,-0.862667701359753,-0.459224544591604,-0.12319053867502,"MAR","brms",7,NA
"1514","propMissAct_0.43_autoCorr_0.58","b_light",0.80029271108971,0.149493622043093,0.512950147558471,0.797501672214602,1.09302277293437,"MAR","brms",7,NA
"1515","propMissAct_0.43_autoCorr_0.58","b_Q",-0.710677736349191,0.0680742202122423,-0.849579689548068,-0.710287159781029,-0.578226101018801,"MAR","brms",7,NA
"1516","propMissAct_0.43_autoCorr_0.58","phi",0.886943837898793,0.0229470432850099,0.841033466795182,0.887471343857217,0.930516208998392,"MAR","brms",7,NA
"1517","propMissAct_0.43_autoCorr_0.58","sigma",0.460515853468445,0.015922005575908,0.430605833196,0.460269658545327,0.493639266090065,"MAR","brms",7,NA
"1518","propMissAct_0.43_autoCorr_0.58","Intercept",0.567334681663772,0.164665574760708,0.204776503528092,0.576805195214013,0.869013028875233,"MAR","brms",7,NA
"1519","propMissAct_0.48_autoCorr_0.64","b_Intercept",-0.268413155292392,0.156699159113304,-0.583861524893303,-0.26719636573376,0.0318315526789672,"MAR","brms",7,NA
"1520","propMissAct_0.48_autoCorr_0.64","b_light",1.03757444164221,0.173791852143041,0.700044300645713,1.03704675358749,1.37814671879071,"MAR","brms",7,NA
"1521","propMissAct_0.48_autoCorr_0.64","b_Q",-0.511501598342401,0.0745801625137563,-0.660892949876803,-0.511821036122878,-0.3701476606497,"MAR","brms",7,NA
"1522","propMissAct_0.48_autoCorr_0.64","phi",0.829617981033926,0.0287974577421245,0.772082503943704,0.830239090979833,0.884803245938323,"MAR","brms",7,NA
